"","elevation","nd"
"399",689.823913574219,0.0500363036990166
"400",720.298706054688,0.0719827935099602
"401",751.619995117188,0.0851306468248367
"402",804.847229003906,0.084262952208519
"403",775.761779785156,0.0704656019806862
"404",681.060485839844,0.05084378272295
"405",571.044006347656,0.0381542816758156
"406",269.003509521484,0.00666602840647101
"407",316.777435302734,0.0413195304572582
"408",397.2412109375,0.0828978717327118
"409",482.495666503906,0.100088477134705
"410",549.947387695312,0.0906564369797707
"411",620.879150390625,0.0726844891905785
"412",593.854248046875,0.0546579100191593
"413",603.24560546875,0.0485495366156101
"414",585.175476074219,0.0586298778653145
"415",611.377014160156,0.0637167319655418
"416",617.475708007812,0.0609951764345169
"417",564.129089355469,0.0536350831389427
"418",505.967803955078,0.0532215423882008
"419",463.882080078125,0.0679376497864723
"420",430.572998046875,0.0678254812955856
"421",402.243988037109,0.0496620275080204
"422",406.644470214844,0.0362351611256599
"423",412.588500976562,0.0399455092847347
"424",376.240997314453,0.0324288830161095
"425",388.878784179688,0.0208242107182741
"426",412.031494140625,0.0347565039992332
"427",378.588592529297,0.0425588525831699
"428",466.561614990234,0.0756634771823883
"429",427.469451904297,0.0648194700479507
"430",446.248596191406,0.048162680119276
"431",636.254516601562,0.0375555939972401
"432",656.753479003906,0.0462563000619411
"433",658.613342285156,0.045198705047369
"434",634.947265625,0.038444671779871
"435",548.833068847656,0.0302464067935944
"436",335.338104248047,0.0685273259878159
"437",384.820617675781,0.0876915603876114
"438",444.678436279297,0.0829906538128853
"439",520.202880859375,0.0669608190655708
"440",534.371887207031,0.0583452992141247
"441",523.872741699219,0.0636948645114899
"442",526.341064453125,0.0730802342295647
"443",503.386505126953,0.0650170221924782
"444",487.969635009766,0.0548694096505642
"445",515.836242675781,0.0369551815092564
"446",498.228424072266,0.0494303517043591
"447",450.863891601562,0.0697604417800903
"448",416.811096191406,0.0681399330496788
"449",393.344787597656,0.044349692761898
"450",384.235504150391,0.0322055146098137
"451",397.422882080078,0.040214478969574
"452",365.17529296875,0.0268109031021595
"453",355.305328369141,0.0114816036075354
"454",396.042022705078,0.0284833256155252
"455",395.136413574219,0.0468443781137466
"456",432.238677978516,0.0700836479663849
"457",410.844940185547,0.0475624576210976
"458",438.301452636719,0.0406639315187931
"459",931.16796875,0.0464027747511864
"460",321.463592529297,0.0460634902119637
"461",359.337829589844,0.069874569773674
"462",387.460693359375,0.0682409554719925
"463",435.303039550781,0.0609570257365704
"464",463.384918212891,0.0580012239515781
"465",452.474029541016,0.0590767674148083
"466",464.337371826172,0.0608476996421814
"467",443.542144775391,0.0626437813043594
"468",431.377655029297,0.050729475915432
"469",426.102569580078,0.048939686268568
"470",418.973205566406,0.0592529401183128
"471",421.856353759766,0.0629350766539574
"472",405.401245117188,0.0591285265982151
"473",393.253723144531,0.0429292321205139
"474",376.108764648438,0.0342082306742668
"475",383.519622802734,0.0355215333402157
"476",366.434906005859,0.0252657327800989
"477",331.537719726562,0.011781957000494
"478",356.054809570312,0.0296769514679909
"479",345.255615234375,0.0437095649540424
"480",385.529296875,0.0452446974813938
"481",396.578887939453,0.0392972864210606
"482",420.123046875,0.0372662283480167
"483",337.468597412109,0.02518230676651
"484",339.974395751953,0.0526775009930134
"485",365.212341308594,0.0703096613287926
"486",379.858245849609,0.068869836628437
"487",394.381958007812,0.0599006414413452
"488",391.177429199219,0.0507759563624859
"489",402.690734863281,0.0566368065774441
"490",405.807678222656,0.0666773915290833
"491",407.308380126953,0.0550922453403473
"492",390.998870849609,0.0517778471112251
"493",375.215393066406,0.0487457662820816
"494",369.586486816406,0.0503446124494076
"495",379.212310791016,0.046251468360424
"496",378.257629394531,0.0424827001988888
"497",368.0517578125,0.0319401174783707
"498",364.314758300781,0.0245692059397697
"499",364.074493408203,0.0214980635792017
"500",330.765441894531,0.0124269397929311
"501",328.312316894531,0.0301108658313751
"502",331.835113525391,0.0302435476332903
"503",346.662048339844,0.0320991761982441
"504",366.574859619141,0.0369428768754005
"505",390.497528076172,0.0314068756997585
"506",345.544555664062,0.0479718148708344
"507",360.077178955078,0.0813302099704742
"508",362.930999755859,0.080316074192524
